thread_id,customer_query,brand_response_actual,intent,escalate,escalation_reason,notes
554dea59e1ef,iOS 11 kills battery do something,Let's look into that. Send us a DM and we'll go from there. [URL],technical_issue,yes,"The customer expresses strong frustration and demands action ('kills battery', 'do something'), indicating a high-priority technical issue that requires human intervention.",
600bc1a54850,Thanks to IOS 11 my phone is a Payphone because I have it on the charger 20 hours a day fuck you,This is not the experience we want you to have. Which iPhone model do you own?,technical_issue,yes,Customer expresses strong frustration and anger (use of profanity).,
0ae8264e0448,Why are #iTunes movie rentals so slow to stream? #buffering #FirstWorldProblems,Having trouble with slow downloads? Start with the steps here: [URL] DM us if you have any more questions. [URL],technical_issue,no,,
0c52b8ef3046,"hi apple, I’ve had my iPad mini nearly 2 years, but somehow it’s managed to bend (looks worse in rl) how?? [URL]",We want to do everything we can to help. DM us what country you're in and we'll help you look into your service options. [URL],billing_purchase,no,,
4b734ec81213,"I have been waiting ""one moment please"" for 10 hours... HELP!!!!","We'd love to see how we can assist. To begin, DM us your current location and we'll look int this. [URL]",feedback_complaint,yes,"The customer expresses strong frustration and anger, indicating a need for human intervention.",
eca846f12845,Thought I could change my Apple ID to an Apple address... Can you help ? [URL],Happy to help! Let's make sure you are following the steps listed here: [URL] DM us if you have trouble: [URL],how_to,no,,
f9f74f54c4a2,i️ think i️ fixed my phone maybe,"We'd like to look into this with you. DM us your exact version of iOS, and we'll take a look. [URL]",technical_issue,no,,
7f06e90b62b8,why is “I️” not working ?,We'd like to take a further look at this with you. Please meet us in DM to continue. [URL],technical_issue,no,,
0f9bee7908b2,hello I do not find on your website an iphone x as big as an iPhone SE? #littlehands,We'll get you pointed in the right direction. You can view the iPhone X technical specifications here: [URL],how_to,no,,
83313a648050,Swear my iPhone hasn’t been working correctly ever since I updated to ios11.1 apps crash on their own and phone freezes up,"We’d like to help get your iPhone working properly. Are you a developer, or are you using the public beta?",technical_issue,no,,
4335d7afaf25,WHENEVER I USE THOSE FILTERS ON SNAPCHAT MY PHONE GETS SO HOT THAT YOU COULD LITERALLY FRY AN EGG ON IT. #HELPPP,We’re glad you reached out! Let us know if the iPhone only gets hot while using Snapchat in DM. We’ll continue there. [URL],technical_issue,no,,
fe66714790c4,I’m disgusted. The 11.0 updates were nothing but viruses! My iPhone 6plus is all messed up. Please help!,"We'd love to help. DM us what issues you're seeing, and if you've updated to 11.1 and we'll team up to get them resolved. [URL]",technical_issue,yes,"The customer expresses strong frustration ('disgusted') and reports a significant device malfunction ('all messed up') following a software update, which requires human intervention to diagnose and resolve.",
a135b892456b,Apple güncellemene sokayım senin. Telefon donuyor kapanıp açılıyor. Ne sikim güncelleme yapıyosun. Yaptın önce kontrol et aq. Düzeltin şunu.,We offer support via Twitter in English. Contact us for help in your preferred language here: [URL],technical_issue,yes,"The customer expresses strong frustration and anger, and the issue involves a device malfunction (freezing/restarting) that requires human intervention to resolve.",
f43d1f752871,😐 #BleedGate [URL],"Let's look into this together. Send us a DM with more information, and we'll continue with you from there. [URL]",feedback_complaint,no,,
bc438ccd7701,Thanks for turning my mobile 6S into a wall powered phone... #dontupdate #batterydrain,This is not the experience we want you to have. Let's continue in DM. [URL],feedback_complaint,no,,
12e0f32aef54,I have returned my applecare and I am still waiting for the refund. I called support 3 times but fell off the line after waiting more than 20 minutes.,We'd be happy to help. DM us and we can go from there. [URL],billing_purchase,yes,"The customer is seeking a refund, which requires access to internal systems for order lookup and account modification. Additionally, the customer has already contacted support multiple times with no resolution, indicating a repeat contact scenario that necessitates human intervention.",
5534491fa36b,Bluetooth connection iPhone X to Infiniti is terrible. Garbled and scratchy cutting in and out &gt;30% of time. Didn't happen W iPhone 6!!,"We want you to be able to enjoy your iPhone X with your Bluetooth devices. We'll do all we can to help. To start, what iOS version is currently installed? Does this issue occur with any other Bluetooth devices that you connect to?",technical_issue,no,,
17bc91062528,"I️ want hot Cheetos, my best friend and a better immune system.",Let's help. Try this out: [URL] Let us know if that helps correct that issue with autocorrect.,technical_issue,no,,
2f9ae4e75032,is it normal for all photos (minus a random few) that were saved as optimized to disappear from an iPhone? They are online in iCloud &amp; I need them back.,"We'd be happy to look into this with you. Having access to your memories are important. Just to be sure we understand, there are pictures in [URL] that are visible when you sign in but aren't visible in the Photos app on your device, correct?",technical_issue,no,,
b6d7d34c029a,Hey why does every update make my phone more fucked up than before? This tweet took 4 tries from all the bull shit auto corrections this phone decided to change on its own.,"If you're running into issues with the auto-corrections with your iPhone, we'd like to help you out. Please tell us the exact issue(s) you're experiencing. Also, please let us know what version of the iOS software you currently have installed. [URL]",technical_issue,yes,"The customer expresses strong frustration and anger, using profanity to describe the device's performance and the auto-correction feature malfunction.",
7514b34baa41,Why does my phone die at 50% 🖕🏼🖕🏼🖕🏼,We'd like to look into this with you. Send us a DM by clicking on the link below. We'll continue there. [URL],technical_issue,yes,Customer expresses strong frustration and anger (indicated by offensive emojis).,
9bc4ed698b06,So the fancydancy new 11.0.3 update has made my apple pay useless and left my battery addicted to the cord..⚡️⚡️hey 👋 whatsupp???,"We want to help! What model of iPhone is this? From a full charge, how many hours does your battery last for you each day? [URL]",technical_issue,no,,
6033f1aa0458,my finder application does not open and all the stuff i had on my desktop has suddenly vanished.,Let's try relaunching Finder by following this article: [URL],technical_issue,no,,
dd0d466f9195,Dear your iOS update 11.2 broke my visual voicemail. [URL],"Thanks for reaching out. Since the update have you completed a normal restart of your iPhone? If not, do so now and let us know the results. We want to ensure your visual voicemail is working again.",technical_issue,no,,
b68a7a804119,FIX THIS BATTERY ISSUE I’M SICK OF LOSING CHARGE.,"We want you to have a good experience, especially with your battery. Let's take a look together and get to the bottom of it. What version of iOS are you using with your Apple device? Here's where to find it: [URL]",technical_issue,yes,"The customer expresses strong frustration and anger, which meets the escalation criteria.",
bd6587c2a35c,Snapchat logo missing from the watch push notifications on the new software update for at least a week now.,Let's see how we can help. What're you seeing instead of the SnapChat icon when you receive a notification? Tell us in DM! [URL],technical_issue,no,,
9faef712599c,"I recently updated my iphone x to ios 11.1.1. After installation and rebooting, the screen is no longer responsive. I've already tried hard reboot, downgrade to ios 11.1 but still no luck. NEED HELP ASAP :)",Let us help you get this sorted out. DM us so we can better assist you: [URL],technical_issue,no,,
12205142f1f6,"Massive fail on iPhone X ordering, . I’ve been through the process six times, getting an error message each time. #HelloSamsung","If you're still experiencing issues, our Sales team can best assist. You can reach out here: [URL]",technical_issue,yes,"The customer has attempted to resolve the issue six times with repeated errors, indicating that previous automated or standard responses have failed to resolve the problem (repeat contact).",
6d8e73353f8e,get y’alls’ life and fix these bugs!😡👊🏾,"We'd like to see if we can help. Send us a DM with more information, and we'll continue from there. [URL]",feedback_complaint,no,,
dd0e202127e8,do me a favour and sort out your email server so I don’t have to keep signing in to delete emails. It’s about as good as a chocolate teapot. It’s 2017 for gods sake,We'd like to hear more about what's happening with your email. Which device are you using and which OS is installed?,technical_issue,yes,"The customer expresses strong frustration and anger, using derogatory language ('chocolate teapot') and exasperated remarks ('for gods sake') regarding a recurring technical malfunction.",
0ccacfcef46d,Anyone else () having Mail act oddly like this with iOS - usually have a force close and reopen to reset. [URL],We want to see how we can help. Which device and iOS version are you experiencing this on?,technical_issue,no,,
6e9c6c458b26,hi I bring my mac to one of your stores to be fixed and instead of helping me these RUDE EMPLOYEES drained my savings account. [URL],We'd like to hear more about your experience with us. Send us a DM. [URL],feedback_complaint,yes,"The customer expresses strong frustration and anger regarding rude employee behavior and alleges a serious financial issue (draining of savings account), which involves sensitive data and requires immediate human intervention.",
8257c6024e38,there’s another glitch🙃🙃🙃whenever I try to type “it” autocorrect changes to I.t 🙃🙃🙃next glitch I want a new phone🙃🙃🙃🙃,We'd love to help you resolve that. Please DM us and we can get started. [URL],technical_issue,no,,
aa79d1e7e72f,my iPhone 7 plus keeps freezing and my lock screen won’t show what song is playing. I have downloaded the latest update,"We are here to help. Meet us in DM, telling us which apps you use for music, and we can start from there. [URL]",technical_issue,no,,
c53fb29bb90f,I HATE THE NEW IPHONE UPDATE!!! I’ve had to restart my phone more times in the past 3 days than the entire 6 years I’ve had iPhones,"We'd love to help! You shouldn't have to restart your iPhone that often. DM us to let us know if it's freezing, or running slowly. [URL]",technical_issue,yes,"The customer expresses strong frustration and anger (all caps, exclamation marks, 'I HATE'), which meets the escalation criteria for emotional distress.",
acc909958544,my #iphone5s repair cost me $200+ ask for upgrade 2#iphone6 2 #UTC #SanDiego dey refuse 2take d phone says cant recycle has small display issue message clear once #iphone dies apple wont care #2enduser ?,Hello! We’d like to understand more about this situation. Please DM us some details and we’ll take it from there. [URL],feedback_complaint,yes,Customer expresses strong frustration and dissatisfaction with a previous support interaction (refusal to take phone for recycling/upgrade) and implies a negative brand perception ('apple wont care'). This fits the criteria for escalation due to strong frustration and the need for a human to address the complaint and potentially resolve the specific service refusal.,
11c292ebd21b,And wtf fix this weak as I️ shit how df y’all mess some shit like this up,Let's follow up via DM to take a look with you. Tell us the version of iOS installed in Settings &gt; General &gt; About there. [URL],feedback_complaint,yes,Customer expresses strong frustration and anger.,
c2f9d4aa5adb,Anyone lately been having issues with their iPhone crashing like ten times a day or is it just me? time for an update?,"That's not the performance we'd expect and we'd like to help. To start, DM us with the country where you're located. [URL]",technical_issue,no,,
20d1f57358d2,"Hate restarting my phone. I have to sit through fifty-something unread text alerts every time I restart it. Fix this, .","We want you to enjoy your iPhone, and we'll do all we can to help. To get started, DM us which iOS version is currently installed. We'll continue from there: [URL]",feedback_complaint,no,,
97e3e394d1d8,I updated my phone and it’s a hot ass mess now,We're happy to help you with this. DM us the details of what you are experiencing here: [URL],technical_issue,no,,
02797557d28a,send help because ever since I updated my phone it is trash. Straight trash. After I post this and switch apps. I’ll have to reset,"Hey, we can work with you to see what's going on with your iPhone. Please send us a DM and we'll work together. [URL]",technical_issue,yes,The customer expresses strong frustration and indicates a severe device malfunction (needing a reset) following an update.,
789b236a0412,"Anyone else’s phone spazzing out because of the new update? Apps closing out on their own, phone just clicking around on things I didn’t click on, opening apps I didn’t open, cmon",That sounds like something we should look into. Let's move to DM and work on getting this resolved. Let us know the device and exact iOS we're working with to get started. [URL],technical_issue,no,,
16ad506448f9,If you have an iPhone do NOT get iOS 11. My phone won’t connect to any WiFi with a password and it’s eating my data. Set with you !!!,We'd like to look into this with you. Reach out via DM using the link below. [URL],technical_issue,no,,
ebf7303de851,. Since iOS 11. Phone getting freeze so constant and battery is like never charged ??What’s going on iPhone is money rip off,"Which device and version of iOS 11 are you using? Check Settings &gt; General &gt; About, and let us know in DM. [URL]",technical_issue,yes,"The customer expresses strong frustration and uses derogatory language ('money rip off'), indicating high dissatisfaction which warrants human intervention.",
a1fcac6715f2,Bluetooth headphones + iPhone 6s + iOS 11 kills battery at about 1% per minute when using kindle app,Having as long a battery life as possible is what we want for you. Do you have iOS 11.0.2 installed? Tried any steps so far?,technical_issue,no,,
60dfc72a9b69,when will the auto-capitalizing “It” and I️ that changed to “A ?” be fixed?! This is super annoying!,Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL],technical_issue,no,,
261fc768d334,They really made the letter “I️” an emoji in an attempt to fix the problem [URL],We'd like to request additional information. Please meet us in DM. [URL],feedback_complaint,no,,
7714c92973b3,The “I️” has now become an emoji on my phone. You’re got me straight tripping [URL],"We'd like to look into this with you. Please send us a DM, and we'll continue there. [URL]",technical_issue,no,,
6abff4fd0e9b,", it’s time to fix your shit man. updating the newest IOS was the worst decision i’ve ever made",What kind of issues are you having? Let us know in Direct Message so we can take a look. [URL],feedback_complaint,yes,"The customer expresses strong frustration and anger using profanity ('fix your shit man', 'worst decision'), which meets the escalation criteria for high emotional distress.",
018d999263f3,is this real or a scam? Why did it come up on my iPhone? [URL],This looks like a phishing pop-up. Direct Message us and we can help out. [URL],other,no,,
